Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Item
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xDaaf0146eCf278f8Bd16015b9da261b519Ae6c37","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x465A19926032687C9Ab14628acc69109653a34EE","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xca327D50e370C66cc896B3722c50D0058a86FB27","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xAE548742E437A7F8d1b7982660745F6F8Fe1929d","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x91ebE8880F3B8c62219E61713AC335c3d9DfB79B","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xad5d2B356D834E77d34deCA413C1EE6953618D01","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x483039571Dccd890818bfdC574eF36836B962052","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x7DC24b8e59a66b84bf61f1F5b4cDE01F21C85975","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x378D11aA9cd01A6DaE7754bd9f4d675601dD1205","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x329E5c08b965b586E785D876C6c563Bb2AD4Bf74","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xbD57e1C11BFD4c96DDa1C86963E875F1dce667e9","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xD54d0fFDD8C6f8aAb220Ed088A7A0dfc46Eb09D5","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x29Aad48C99bbD4Fb2077A8D7d42e8003093AEF63","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x10eACAe5f1867FD8A110c6aD14100559406FF1e5","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x79f17297ca7fefd46f78b1676671211c94DA6ea6","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x0C01bCd19e0e9Cb0b8AE0FB9062C0499169b5693","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xE001950B09d1a4c03816cBFfCceAEC456A2aa489","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xa47AD07AafCb5B8E26bC677d458d831aB381b5B0","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x32B7E0dfa8F8EbaD382b5a4537839e50Bcd9e051","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x228EB66E2d29e77c9cb7192bEE177e13A42980F2","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x71dB12b56A9876dc4c55B8a698a33777bE75c2b8","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x7425063E0f6f05138766f210C2054C914BeDfB3c","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xDC71f80449fd4B4A37E6f9aCBaa521EdDcB97443","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x478709221DB9ceE598E17F7491116bbe47f81B2D","","1","#1"
"0x49781fd9577712ac42f384d41da5936e56ee2e6db453c772b726c7f2a52ab957","Success","0xfaf67b43","59522648","2024-07-18 20:05:47","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x16B032f71e0397a1A9471EEC8ED1EbA32dC1357F","","1","#1"
