Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Item
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x2435340CC2B4Be9Fa4016fAdAA9e8486C8C2678c","platoospace555.nft","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x7b248780198088f027D22ED6C894c93F20419043","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x34Ca3E0370346A218c5126dd9bC532235E7a4D79","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x841739A8633c175e165aDB629A0544aE5cf91796","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x14533792e1916C014513B54afe33B68063c85aed","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x144B2399231de6538Ffb67d3ce0C038e24798D27","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x24621Fa774fC8FF16F2332b5a29AfA40A50934C6","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x9D1f49b2f1D0Cc01F2e6db0C4E42E957622509De","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x308116803795AdDCd756aDDd1D3E6F4f6b6b7648","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x55eB8acE5C04bcbD9A8e9dF85cDBF5bA2795c4B3","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x0947E1EAF9cB84f79907e6A6e76E112b5b440392","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x501Fc661C1227677688e3DCe19e3b29D6bc20bbe","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x24961F3472fB6b8db42f5806aB39E9589460D927","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x228380af7F8B3365ade39425755f26eD4C05D43A","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x6A42C84626ce77bD01e5F770829c26b64b690D50","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x0Ba7DEc2261B0eC885C0f3cB1e8349b7503a87fA","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0xc524Ac91dD149e5f4A533764e869Bae8751E2750","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x4e6c1BC1204DC64A0AAA2A2c058A879e02B92a37","","1","#1"
"0xb65dcefe425af2adb881b7f4941a6273889f18c78c7305b1da259c1f02366f81","Success","0xfaf67b43","59275817","2024-07-12 15:58:58","0x0000000000000000000000000000000000000000","Null: 0x000…000","0x671f487ADB0f4284F9ed482D8877e653a531F8F2","","1","#1"
